,date
4107,2014-01-27
4108,2014-01-27
4109,2014-01-27
4213,2014-01-28
4240,2014-01-28
4241,2014-01-28
4243,2014-01-28
4252,2014-01-28
4259,2014-01-28
4260,2014-01-28
4262,2014-01-28
4263,2014-01-28
4266,2014-01-28
4267,2014-01-28
4269,2014-01-28
4270,2014-01-28
4272,2014-01-28
4274,2014-01-29
4276,2014-01-29
4277,2014-01-29
4280,2014-01-29
4281,2014-01-29
4282,2014-01-29
4283,2014-01-29
4288,2014-01-29
4289,2014-01-29
4299,2014-01-29
4302,2014-01-29
4329,2014-01-29
4393,2014-01-30
4394,2014-01-30
4395,2014-01-30
4396,2014-01-30
4398,2014-01-30
4399,2014-01-30
4400,2014-01-30
4402,2014-01-30
4406,2014-01-30
4422,2014-01-30
4441,2014-01-30
4536,2014-01-31
4561,2014-01-31
4578,2014-01-31
4581,2014-01-31
4583,2014-01-31
4584,2014-01-31
4585,2014-01-31
4590,2014-01-31
4760,2014-02-01
4761,2014-02-01
4762,2014-02-01
4763,2014-02-01
4765,2014-02-01
4784,2014-02-01
4786,2014-02-01
4801,2014-02-01
4809,2014-02-01
4814,2014-02-01
4855,2014-02-02
4858,2014-02-02
4863,2014-02-02
4864,2014-02-02
4869,2014-02-02
4871,2014-02-02
4873,2014-02-02
4960,2014-02-03
4976,2014-02-03
4978,2014-02-03
4980,2014-02-03
4981,2014-02-03
4983,2014-02-03
4985,2014-02-03
4987,2014-02-03
4988,2014-02-03
4989,2014-02-03
4990,2014-02-03
4992,2014-02-03
5125,2014-02-04
5132,2014-02-04
5158,2014-02-04
5160,2014-02-04
5185,2014-02-04
5191,2014-02-04
5192,2014-02-04
5193,2014-02-04
5195,2014-02-04
5197,2014-02-04
5198,2014-02-04
5200,2014-02-04
5201,2014-02-04
5202,2014-02-04
5214,2014-02-04
5220,2014-02-05
5221,2014-02-05
5222,2014-02-05
5223,2014-02-05
5229,2014-02-05
5341,2014-02-06
5342,2014-02-06
5343,2014-02-06
5345,2014-02-06
5346,2014-02-06
5347,2014-02-06
5351,2014-02-06
5352,2014-02-06
5389,2014-02-06
5391,2014-02-06
5484,2014-02-07
5487,2014-02-07
5492,2014-02-07
5495,2014-02-07
5497,2014-02-07
5498,2014-02-07
5500,2014-02-07
5501,2014-02-07
5502,2014-02-07
5586,2014-02-08
5589,2014-02-08
5591,2014-02-08
5592,2014-02-08
5593,2014-02-08
5596,2014-02-08
5606,2014-02-08
5716,2014-02-09
5718,2014-02-09
5725,2014-02-09
5727,2014-02-09
5729,2014-02-09
5769,2014-02-10
5777,2014-02-10
5781,2014-02-10
5782,2014-02-10
5785,2014-02-10
5786,2014-02-10
5788,2014-02-10
5789,2014-02-10
5790,2014-02-10
5792,2014-02-10
5825,2014-02-10
5885,2014-02-11
5890,2014-02-11
5898,2014-02-11
5901,2014-02-11
6063,2014-02-12
6065,2014-02-12
6066,2014-02-12
6068,2014-02-12
6070,2014-02-12
6071,2014-02-12
6074,2014-02-12
6075,2014-02-12
6076,2014-02-12
6079,2014-02-12
6080,2014-02-12
6084,2014-02-13
6087,2014-02-13
6088,2014-02-13
6090,2014-02-13
6093,2014-02-13
6095,2014-02-13
6098,2014-02-13
6099,2014-02-13
6101,2014-02-13
6102,2014-02-13
6105,2014-02-13
6237,2014-02-14
6251,2014-02-14
6267,2014-02-14
6268,2014-02-14
6271,2014-02-14
6272,2014-02-14
6310,2014-02-15
6311,2014-02-15
6316,2014-02-15
6430,2014-02-16
6431,2014-02-16
6432,2014-02-16
6434,2014-02-16
6435,2014-02-16
6454,2014-02-16
6457,2014-02-16
6458,2014-02-16
6474,2014-02-16
6477,2014-02-16
6483,2014-02-16
6484,2014-02-17
6486,2014-02-17
6488,2014-02-17
6489,2014-02-17
6504,2014-02-17
6516,2014-02-17
6522,2014-02-17
6523,2014-02-17
6577,2014-02-18
6579,2014-02-18
6583,2014-02-18
6584,2014-02-18
6587,2014-02-18
6595,2014-02-18
6596,2014-02-18
6772,2014-02-19
6773,2014-02-19
6774,2014-02-19
6775,2014-02-19
6776,2014-02-19
6777,2014-02-19
6779,2014-02-19
6780,2014-02-19
6781,2014-02-19
6782,2014-02-19
6785,2014-02-19
6788,2014-02-19
6789,2014-02-19
6791,2014-02-19
6792,2014-02-19
6822,2014-02-20
6824,2014-02-20
6830,2014-02-20
6833,2014-02-20
6835,2014-02-20
6836,2014-02-20
6913,2014-02-21
6945,2014-02-21
6947,2014-02-21
6971,2014-02-21
6979,2014-02-21
6980,2014-02-21
6981,2014-02-21
6982,2014-02-21
6988,2014-02-21
7013,2014-02-22
7029,2014-02-22
7053,2014-02-22
7055,2014-02-22
7083,2014-02-22
7085,2014-02-22
7087,2014-02-22
7089,2014-02-22
7090,2014-02-22
7092,2014-02-22
7121,2014-02-23
7124,2014-02-23
7125,2014-02-23
7130,2014-02-23
7132,2014-02-23
7139,2014-02-23
7169,2014-02-23
7171,2014-02-23
7199,2014-02-23
7206,2014-02-23
